source_year,tooling_dimension,rank,item,respondents_reporting_item,share_of_all_respondents_pct,source_column,source_file,license
2024,programming language used in past year,1,JavaScript,37492,57.3,LanguageHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,programming language used in past year,2,HTML/CSS,31816,48.6,LanguageHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,programming language used in past year,3,Python,30719,46.9,LanguageHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,programming language used in past year,4,SQL,30682,46.9,LanguageHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,programming language used in past year,5,TypeScript,23150,35.4,LanguageHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,programming language used in past year,6,Bash/Shell (all shells),20412,31.2,LanguageHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,programming language used in past year,7,Java,18239,27.9,LanguageHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,programming language used in past year,8,C#,16318,24.9,LanguageHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,database used in past year,1,PostgreSQL,25536,39.0,DatabaseHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,database used in past year,2,MySQL,21099,32.2,DatabaseHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,database used in past year,3,SQLite,17365,26.5,DatabaseHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,database used in past year,4,Microsoft SQL Server,13275,20.3,DatabaseHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,database used in past year,5,MongoDB,13007,19.9,DatabaseHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,database used in past year,6,Redis,10463,16.0,DatabaseHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,database used in past year,7,MariaDB,8991,13.7,DatabaseHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,database used in past year,8,Elasticsearch,6533,10.0,DatabaseHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,platform used in past year,1,Amazon Web Services (AWS),22191,33.9,PlatformHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,platform used in past year,2,Microsoft Azure,12850,19.6,PlatformHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,platform used in past year,3,Google Cloud,11605,17.7,PlatformHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,platform used in past year,4,Cloudflare,6974,10.7,PlatformHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,platform used in past year,5,Firebase,6443,9.8,PlatformHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,platform used in past year,6,Vercel,5491,8.4,PlatformHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,platform used in past year,7,Digital Ocean,5409,8.3,PlatformHaveWorkedWith,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
