shared_schema_qname,question_2024,question_2025,result_columns_2024,result_columns_2025,included_in_aggregate_files,note
AISelect,Do you currently use AI tools in your development process? *,Do you currently use AI tools in your development process?,AISelect,AISelect,yes,Exact result column exists in both 2024 and 2025.
AISent,How favorable is your stance on using AI tools as part of your development workflow?,How favorable is your stance on using AI tools as part of your development workflow?,AISent,AISent,yes,Exact result column exists in both 2024 and 2025.
AIAcc,How much do you trust the accuracy of the output from AI tools as part of your development workflow?,How much do you trust the accuracy of the output from AI tools as part of your development workflow?,AIAcc,AIAcc,yes,Exact result column exists in both 2024 and 2025.
AIComplex,How well do the AI tools you use in your development workflow handle complex tasks?,How well do the AI tools you use in your development workflow handle complex tasks?,AIComplex,AIComplex,yes,Exact result column exists in both 2024 and 2025.
AIThreat,Do you believe AI is a threat to your current job?,Do you believe AI is a threat to your current job?,AIThreat,AIThreat,yes,Exact result column exists in both 2024 and 2025.
AITool,Which parts of your development workflow are you currently using AI tools for and which are you interested in using AI tools for over the next year? Please select all that apply.,Which parts of your development workflow are you currently integrating into AI or using AI tools to accomplish or plan to use AI to accomplish over the next 3 - 5 years? Please select one for each scenario.,AIToolCurrently Using;AIToolInterested in Using;AIToolNot interested in Using,AIToolCurrently partially AI;AIToolCurrently mostly AI;AIToolPlan to partially use AI;AIToolPlan to mostly use AI;AIToolDon't plan to use AI for this task,schema_only,"Shared schema topic, but result columns changed between 2024 and 2025; excluded from numeric aggregates in this mini dataset."
DevType,"Which of the following describes your current job, the one you do most of the time? Please select only one.",Which of the following describes your current job or the job you had for the most time in the past year?,DevType,DevType,yes,Exact result column exists in both 2024 and 2025.
Language,"Which <b>programming, scripting, and markup languages</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.)","Which <b>programming, scripting, and markup languages</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.)",LanguageHaveWorkedWith;LanguageWantToWorkWith;LanguageAdmired,LanguageHaveWorkedWith;LanguageWantToWorkWith;LanguageAdmired,yes,"Shared schema topic represented by HaveWorkedWith, WantToWorkWith, and Admired result columns."
Database,"Which <b>database environments </b>have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the database and want to continue to do so, please check both boxes in that row.)","Which <b>database environments </b>have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the database and want to continue to do so, please check both boxes in that row.)",DatabaseHaveWorkedWith;DatabaseWantToWorkWith;DatabaseAdmired,DatabaseHaveWorkedWith;DatabaseWantToWorkWith;DatabaseAdmired,yes,"Shared schema topic represented by HaveWorkedWith, WantToWorkWith, and Admired result columns."
Platform,"Which <b>cloud platforms</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.)","Which <b>cloud platforms, containerization/orchestration tools, package managers, build tools, and infrastructure as code solutions</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.)",PlatformHaveWorkedWith;PlatformWantToWorkWith;PlatformAdmired,PlatformHaveWorkedWith;PlatformWantToWorkWith;PlatformAdmired,yes,"Shared schema topic represented by HaveWorkedWith, WantToWorkWith, and Admired result columns."
Webframe,"Which <b>web frameworks and web technologies</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)","Which <b>web frameworks and web technologies</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)",WebframeHaveWorkedWith;WebframeWantToWorkWith;WebframeAdmired,WebframeHaveWorkedWith;WebframeWantToWorkWith;WebframeAdmired,yes,"Shared schema topic represented by HaveWorkedWith, WantToWorkWith, and Admired result columns."
