source_year,segment_rank_by_combined_count,developer_segment,respondents_in_segment,ai_use_count,ai_use_pct,favorable_or_very_favorable_count,favorable_or_very_favorable_pct,somewhat_or_highly_trust_count,somewhat_or_highly_trust_pct,handles_complex_tasks_well_count,handles_complex_tasks_well_pct,sees_ai_as_job_threat_count,sees_ai_as_job_threat_pct,source_columns,source_file,license
2024,1,"Developer, full-stack",18260,11654,63.8,10060,55.1,4804,26.3,4059,22.2,1647,9.0,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,2,"Developer, back-end",9928,5999,60.4,5140,51.8,2471,24.9,1905,19.2,841,8.5,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,3,Student,5102,3094,60.6,2547,49.9,1400,27.4,1136,22.3,503,9.9,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,4,"Developer, front-end",3349,2243,67.0,2004,59.8,1106,33.0,841,25.1,403,12.0,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,5,"Developer, desktop or enterprise applications",2493,1100,44.1,1021,41.0,419,16.8,370,14.8,162,6.5,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,6,"Developer, mobile",2021,1283,63.5,1156,57.2,595,29.4,528,26.1,225,11.1,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,7,"Developer, embedded applications or devices",1623,691,42.6,575,35.4,199,12.3,163,10.0,68,4.2,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,8,"Architect, software or solutions",0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,9,Academic researcher,1238,693,56.0,608,49.1,257,20.8,246,19.9,75,6.1,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,10,Engineering manager,1275,783,61.4,744,58.4,327,25.6,247,19.4,89,7.0,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,1,"Developer, full-stack",12351,7877,63.8,5892,47.7,3148,25.5,2934,23.8,1508,12.2,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,2,"Developer, back-end",6453,4010,62.1,2913,45.1,1487,23.0,1266,19.6,822,12.7,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,3,Student,3008,1649,54.8,1085,36.1,737,24.5,645,21.4,414,13.8,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,4,"Developer, front-end",1974,1289,65.3,984,49.8,583,29.5,527,26.7,312,15.8,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,5,"Developer, desktop or enterprise applications",1919,1064,55.4,773,40.3,427,22.3,330,17.2,197,10.3,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,6,"Developer, mobile",1391,892,64.1,723,52.0,423,30.4,385,27.7,238,17.1,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,7,"Developer, embedded applications or devices",1274,662,52.0,459,36.0,220,17.3,169,13.3,89,7.0,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,8,"Architect, software or solutions",2684,1771,66.0,1412,52.6,724,27.0,680,25.3,327,12.2,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,9,Academic researcher,1131,602,53.2,441,39.0,224,19.8,237,21.0,136,12.0,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,10,Engineering manager,1068,712,66.7,600,56.2,309,28.9,278,26.0,138,12.9,DevType;AISelect;AISent;AIAcc;AIComplex;AIThreat,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
