source_year,question_id,question_label,question_text,response,response_count,total_respondents,share_of_all_respondents_pct,source_column,source_file,license
2024,AISelect,AI tool adoption in development process,Do you currently use AI tools in your development process? *,Yes,37662,65437,57.6,AISelect,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AISelect,AI tool adoption in development process,Do you currently use AI tools in your development process? *,"No, and I don't plan to",14837,65437,22.7,AISelect,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AISelect,AI tool adoption in development process,Do you currently use AI tools in your development process? *,"No, but I plan to soon",8408,65437,12.8,AISelect,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AISelect,AI tool adoption in development process,Do you currently use AI tools in your development process? *,NA,4530,65437,6.9,AISelect,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AISent,Favorability toward AI tools in workflow,How favorable is your stance on using AI tools as part of your development workflow?,Favorable,22167,65437,33.9,AISent,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AISent,Favorability toward AI tools in workflow,How favorable is your stance on using AI tools as part of your development workflow?,NA,19564,65437,29.9,AISent,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AISent,Favorability toward AI tools in workflow,How favorable is your stance on using AI tools as part of your development workflow?,Very favorable,10848,65437,16.6,AISent,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AISent,Favorability toward AI tools in workflow,How favorable is your stance on using AI tools as part of your development workflow?,Indifferent,8564,65437,13.1,AISent,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AISent,Favorability toward AI tools in workflow,How favorable is your stance on using AI tools as part of your development workflow?,Unfavorable,2381,65437,3.6,AISent,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AISent,Favorability toward AI tools in workflow,How favorable is your stance on using AI tools as part of your development workflow?,Unsure,1357,65437,2.1,AISent,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AISent,Favorability toward AI tools in workflow,How favorable is your stance on using AI tools as part of your development workflow?,Very unfavorable,556,65437,0.8,AISent,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AIAcc,Trust in AI tool output accuracy,How much do you trust the accuracy of the output from AI tools as part of your development workflow?,NA,28135,65437,43.0,AIAcc,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AIAcc,Trust in AI tool output accuracy,How much do you trust the accuracy of the output from AI tools as part of your development workflow?,Somewhat trust,15039,65437,23.0,AIAcc,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AIAcc,Trust in AI tool output accuracy,How much do you trust the accuracy of the output from AI tools as part of your development workflow?,Neither trust nor distrust,9920,65437,15.2,AIAcc,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AIAcc,Trust in AI tool output accuracy,How much do you trust the accuracy of the output from AI tools as part of your development workflow?,Somewhat distrust,8395,65437,12.8,AIAcc,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AIAcc,Trust in AI tool output accuracy,How much do you trust the accuracy of the output from AI tools as part of your development workflow?,Highly distrust,2932,65437,4.5,AIAcc,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AIAcc,Trust in AI tool output accuracy,How much do you trust the accuracy of the output from AI tools as part of your development workflow?,Highly trust,1016,65437,1.6,AIAcc,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AIComplex,Ability of AI tools to handle complex tasks,How well do the AI tools you use in your development workflow handle complex tasks?,NA,28416,65437,43.4,AIComplex,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AIComplex,Ability of AI tools to handle complex tasks,How well do the AI tools you use in your development workflow handle complex tasks?,"Good, but not great at handling complex tasks",12102,65437,18.5,AIComplex,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AIComplex,Ability of AI tools to handle complex tasks,How well do the AI tools you use in your development workflow handle complex tasks?,Bad at handling complex tasks,11583,65437,17.7,AIComplex,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AIComplex,Ability of AI tools to handle complex tasks,How well do the AI tools you use in your development workflow handle complex tasks?,Neither good or bad at handling complex tasks,7706,65437,11.8,AIComplex,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AIComplex,Ability of AI tools to handle complex tasks,How well do the AI tools you use in your development workflow handle complex tasks?,Very poor at handling complex tasks,4415,65437,6.7,AIComplex,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
